,0
0,Arkansas
1,West Virginia
2,Delaware
3,Wyoming
4,Montana
5,Virginia
6,New Mexico
7,Iowa
8,California
9,Colorado
10,New York
11,Oregon
12,New Hampshire
13,Georgia
14,Louisiana
15,Illinois
16,Michigan
17,Tennessee
18,Nebraska
19,Florida
20,Maine
21,Kentucky
22,Utah
23,Wisconsin
24,Arizona
25,North Dakota
26,Massachusetts
27,South Dakota
28,Minnesota
29,Maryland
30,South Carolina
31,Rhode Island
32,Nevada
33,North Carolina
34,Pennsylvania
35,Idaho
36,Missouri
37,Connecticut
38,Oklahoma
39,Texas
40,Vermont
41,Alabama
42,Indiana
43,Kansas
44,Alaska
45,Mississippi
